time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-01-10T04:10:34.050Z,19.3683,-65.4018,95,2.84,md,7,328,1.3051,0.27,pr,pr2019010003,2019-01-10T08:30:55.894Z,"113km NNE of Vieques, Puerto Rico",earthquake,5.55,10.15,0.28,7,reviewed,pr,pr
2019-01-10T04:02:23.734Z,57.4342,-150.7628,0.8,3,ml,,,,0.57,ak,ak019glrom8,2019-01-10T04:12:34.079Z,"105km ESE of Kodiak, Alaska",earthquake,,0.9,,,automatic,ak,ak
2019-01-10T03:27:31.491Z,58.4034,-151.0458,7.6,2.6,ml,,,,0.6,ak,ak019glbmez,2019-01-10T03:39:45.056Z,"105km NE of Kodiak, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-01-10T02:52:04.840Z,34.393,78.2183,34.19,4.6,mb,,83,4.176,0.67,us,us2000j2bz,2019-01-10T07:31:04.016Z,"63km ENE of Leh, India",earthquake,5.9,5,0.105,27,reviewed,us,us
2019-01-10T02:13:17.260Z,15.7846,-94.956,34.23,4.5,mb,,168,2.755,1.07,us,us2000j2bj,2019-01-10T02:29:36.040Z,"46km S of San Mateo del Mar, Mexico",earthquake,4.5,9.3,0.059,84,reviewed,us,us
2019-01-10T00:49:27.885Z,61.4677,-149.9868,20.5,3,ml,,,,0.88,ak,ak019gjo17z,2019-01-10T08:57:03.262Z,"6km SSW of Big Lake, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-01-10T00:30:57.070Z,69.6165,-145.1213,10.3,3.4,ml,,,,0.64,ak,ak019gjk0t2,2019-01-10T19:17:46.483Z,"68km SW of Kaktovik, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2019-01-10T00:05:58.730Z,40.2988319,-124.4919968,20.03,3.31,ml,15,268,0.1779,0.08,nc,nc73131416,2019-01-10T14:50:07.924Z,"18km W of Petrolia, CA",earthquake,1.64,0.38,0.342,7,automatic,nc,nc
2019-01-10T00:04:32.522Z,61.4442,-149.8938,28.4,4,ml,,,,0.61,ak,ak019gjee93,2019-01-10T18:24:03.072Z,"8km SE of Big Lake, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2019-01-09T22:38:06.360Z,5.7043,126.5845,75.16,4.6,mb,,110,1.684,0.6,us,us2000j292,2019-01-09T22:53:15.040Z,"85km SSE of Pondaguitan, Philippines",earthquake,5.3,8.4,0.091,36,reviewed,us,us
2019-01-09T21:54:01.961Z,59.6466,-153.2943,106,2.8,ml,,,,0.62,ak,ak019f8nsxu,2019-01-09T22:45:33.790Z,"83km W of Anchor Point, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-01-09T18:56:31.610Z,-9.433,119.9513,82.01,5,mww,,48,2.393,1.24,us,us2000j23z,2019-01-09T19:12:06.040Z,"4km SE of Napu, Indonesia",earthquake,3.2,6.3,0.073,18,reviewed,us,us
2019-01-09T18:40:17.438Z,62.9581,-149.5688,68.5,3.2,ml,,,,0.61,ak,ak019f6sjan,2019-01-09T18:53:32.345Z,"57km SSW of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-01-09T18:11:23.954Z,59.7928,-153.2057,104.3,2.6,ml,,,,0.6,ak,ak019f6mc2k,2019-01-09T18:19:42.140Z,"77km W of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-01-09T17:35:40.590Z,-4.6338,147.8895,10,4.6,mb,,65,2.625,1.32,us,us2000j22d,2019-01-09T18:59:25.040Z,"217km N of Finschhafen, Papua New Guinea",earthquake,6.8,1.9,0.12,21,reviewed,us,us
2019-01-09T17:01:02.380Z,-4.5333,147.9455,10,4.9,mb,,63,2.54,0.91,us,us2000j1zj,2019-01-09T17:20:33.040Z,"228km N of Finschhafen, Papua New Guinea",earthquake,5.6,1.9,0.104,29,reviewed,us,us
2019-01-09T16:26:49.491Z,69.5369,-144.0083,0,2.5,ml,,,,0.71,ak,ak019f5iqk5,2019-01-09T16:45:46.480Z,"68km SSW of Kaktovik, Alaska",earthquake,,1.1,,,automatic,ak,ak
2019-01-09T16:11:30.206Z,60.2056,-150.97,63.8,4.5,ml,,,,0.81,ak,ak019f5fh9w,2019-01-10T15:27:12.631Z,"26km SE of Cohoe, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2019-01-09T16:10:34.010Z,18.7646,-67.7191,93,2.88,md,5,210,0.8648,0.24,pr,pr2019009010,2019-01-09T22:34:21.438Z,"68km NW of Rincon, Puerto Rico",earthquake,6.5,4.16,0.13,4,reviewed,pr,pr
2019-01-09T16:09:58.860Z,-12.9055,45.5893,10,4.9,mb,,65,6.278,0.88,us,us2000j1yx,2019-01-09T22:31:13.231Z,"35km ESE of Pamandzi, Mayotte",earthquake,12.1,1.8,0.079,50,reviewed,us,us
2019-01-09T15:44:30.460Z,-20.3103,-177.7476,534.82,4.6,mb,,91,4.721,0.85,us,us2000j1yr,2019-01-09T22:20:55.040Z,"106km ENE of Ndoi Island, Fiji",earthquake,13.1,7.9,0.079,48,reviewed,us,us
2019-01-09T15:35:50.262Z,69.1396,-144.7064,0,2.7,ml,,,,0.81,ak,ak019f4z8o7,2019-01-09T22:16:42.040Z,"117km NNE of Arctic Village, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-01-09T15:12:11.070Z,61.3254,-150.064,18.8,2.8,ml,,,,0.83,ak,ak019f4u80c,2019-01-10T00:19:39.356Z,"14km NW of Anchorage, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-01-09T13:44:55.293Z,62.7454,-150.1692,72.4,2.6,ml,,,,0.58,ak,ak019f3ub0o,2019-01-09T13:51:40.234Z,"47km N of Talkeetna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-01-09T12:03:54.428Z,69.4601,-144.2368,9.8,3.1,ml,,,,0.77,ak,ak019f3034g,2019-01-09T20:20:57.565Z,"60km SSW of Kaktovik, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2019-01-09T11:36:03.270Z,45.5729,26.62,139.22,4.1,mb,,41,0.271,0.86,us,us2000j1vz,2019-01-09T16:19:30.787Z,"7km NW of Bisoca, Romania",earthquake,3.5,4.8,0.198,7,reviewed,us,us
2019-01-09T11:35:20.530Z,32.7883333,-115.4618333,16,2.48,ml,44,42,0.02115,0.26,ci,ci38420208,2019-01-09T20:38:10.550Z,"8km WSW of Holtville, CA",earthquake,0.29,0.45,0.227,26,reviewed,ci,ci
2019-01-09T11:01:34.050Z,54.7075,83.8792,11.42,4.4,mb,,90,0.939,0.58,us,us2000j1v1,2019-01-09T12:07:12.040Z,"37km ENE of Iskitim, Russia",earthquake,6.6,5.2,0.149,13,reviewed,us,us
2019-01-09T11:00:55.248Z,38.3833,-115.8292,4.7,3.1,ml,36,116.06,0.194,0.1841,nn,nn00673828,2019-01-10T03:42:13.912Z,"50km SW of Currant, Nevada",earthquake,,1.7,0.36,16,reviewed,nn,nn
